Regal Name and Number,House,Date of Ascension,Date of Birth,Date of Death,First Spouse
Edward the Confessor,House of Wessex,1042-06-08,1003,1066-01-05,Edith of Wessex
Harold II Godwinson,House of Godwin,1066-01-06,1022,1066-10-14,Edith Swannesha
William I (the Conqueror),House of Normandy,1066-12-25,1028,1087-09-09,Matilda of Flanders
William II,House of Normandy,1087-09-26,1056,1100-08-02,None
Henry I,House of Normandy,1100-08-05,1068,1135-12-01,Matilda of Scotland
Stephen,House of Blois,1135-12-22,1092,1154-10-25,Matilda of Boulogne
Henry II,House of Plantagenet,1154-12-19,1133-03-05,1189-07-06,Eleanor of Aquitaine
Richard I,House of Plantagenet,1189-07-06,1157-09-08,1199-04-06,Berengaria of Navarre
John,House of Plantagenet,1199-05-27,1166-12-24,1216-10-19,Isabella of Angoul̻me
Henry III,House of Plantagenet,1216-10-28,1207-10-01,1272-11-16,Eleanor of Provence
Edward I,House of Plantagenet,1272-11-20,1239-06-17,1307-07-07,Eleanor of Castile
Edward II,House of Plantagenet,1307-07-08,1284-04-25,1327-09-21,Isabella of France
Edward III,House of Plantagenet,1327-01-25,1312-11-13,1377-06-21,Philippa of Hainault
Richard II,House of Plantagenet,1377-06-22,1367-01-06,1400-02-14,Anne of Bohemia
Henry IV,House of Lancaster,1399-09-30,1367-04-03,1413-03-20,Mary de Bohun
Henry V,House of Lancaster,1413-03-21,1386-09-16,1422-08-31,Catherine of Valois
Henry VI,House of Lancaster,1422-09-01,1421-12-06,1471-05-21,Margaret of Anjou
Edward IV,House of York,1461-03-04,1442-04-28,1483-04-09,Elizabeth Woodville
Edward V,House of York,1483-04-09,1470-11-02,1483?,None
Richard III,House of York,1483-06-26,1452-10-02,1485-08-22,Anne Neville
Henry VII,House of Tudor,1485-08-22,1457-01-28,1509-04-21,Elizabeth of York
Henry VIII,House of Tudor,1509-04-21,1491-06-28,1547-01-28,Catherine of Aragon
Edward VI,House of Tudor,1547-01-28,1537-10-12,1553-07-06,None
Mary I,House of Tudor,1553-07-19,1516-02-18,1558-11-17,Philip II of Spain
Elizabeth I,House of Tudor,1558-11-17,1533-09-07,1603-03-24,None
James I,House of Stuart,1603-03-24,1566-06-19,1625-03-27,Anne of Denmark
Charles I,House of Stuart,1625-03-27,1600-11-19,1649-01-30,Henrietta Maria of France
Charles II,House of Stuart,1660-05-29,1630-05-29,1685-02-06,Catherine of Braganza
James II,House of Stuart,1685-02-06,1633-10-14,1701-09-16,Anne Hyde
William III and Mary II,House of Orange/Nassau & Stuart,1689-02-13,1650-11-04 & 1662-04-30,1702-03-08 & 1694-12-28,Mary II & William III (married to each other)
Anne,House of Stuart,1702-03-08,1665-02-06,1714-08-01,Prince George of Denmark
George I,House of Hanover,1714-08-01,1660-05-28,1727-06-11,Sophia Dorothea of Celle
George II,House of Hanover,1727-06-11,1683-11-10,1760-10-25,Caroline of Ansbach
George III,House of Hanover,1760-10-25,1738-06-04,1820-01-29,Charlotte of Mecklenburg-Strelitz
George IV,House of Hanover,1820-01-29,1762-08-12,1830-06-26,Caroline of Brunswick
William IV,House of Hanover,1830-06-26,1765-08-21,1837-06-20,Adelaide of Saxe-Meiningen
Victoria,House of Hanover,1837-06-20,1819-05-24,1901-01-22,Albert of Saxe-Coburg and Gotha
Edward VII,House of Saxe-Coburg and Gotha,1901-01-22,1841-11-09,1910-05-06,Alexandra of Denmark
George V,House of Windsor,1910-05-06,1865-06-03,1936-01-20,Mary of Teck
Edward VIII,House of Windsor,1936-01-20,1894-06-23,1972-05-28,Wallis Simpson (after abdication)
George VI,House of Windsor,1936-12-11,1895-12-14,1952-02-06,Elizabeth Bowes-Lyon
Elizabeth II,House of Windsor,1952-02-06,1926-04-21,2022-09-08,Philip Mountbatten
Charles III,House of Windsor,2022-09-08,1948-11-14,N/A,Camilla Parker Bowles